4547986043973147,直说传媒,Fri Sep 11 15:03:53 +0800 2020,发布了头条文章：《达内教育遭多名消费者投诉“诱导学员贷款、虚假宣传”》 @国际教育曹红 #达内# 达内教育遭多名消费者投诉“诱导学员贷款、虚假宣传”,发布了 头条 文章 达内 教育 遭 多名 消费者投诉 诱导 学员 贷款 虚假宣传   国际教育 曹红,x n n nrt vn v m x vn n n x x x nr,"发布了 x,头条 n,文章 n,达内 nrt,教育 vn,遭 v,多名 m,消费者投诉 x,诱导 vn,学员 n,贷款 n,虚假宣传 x,  x,国际教育 x,曹红 nr"
4428000894235244,说书会挨打的导演,Wed Oct 16 12:45:44 +0800 2019,果然就我一个人会给踢皮球，派出所一会儿说去找教育局现在又是劳动局#达内# 我去劳动局看看会不会给踢到教育局,就我一个人 会给 踢皮球 派出所 一会儿 去找 教育局 又是 劳动局 达内   我去 会不会 踢,x x n n m x n x n nrt x x x v,"就我一个人 x,会给 x,踢皮球 n,派出所 n,一会儿 m,去找 x,教育局 n,又是 x,劳动局 n,达内 nrt,  x,我去 x,会不会 x,踢 v"
4379949529665211,许我青春不朽,Wed Jun 05 22:26:46 +0800 2019,#达内# 丧心病狂的达内企业，请求各级政府领导部门关闭达内培训机构，还那些人公道，我不为自己，为朋友和家人一些忠告，出来就业要看企业资格证，如果没有，不要去了，我希望微博朋友给我点个赞！,达内   丧心病狂 企业 请求 政府 领导 部门 关闭 培训机构 公道 不为 朋友 和家人 忠告 就业 要看 资格证 如果没有 去了 希望 微 博 给我 点 赞,nrt x i n v n n n v x n c n x n v x n x x v a n x m v,"达内 nrt,  x,丧心病狂 i,企业 n,请求 v,政府 n,领导 n,部门 n,关闭 v,培训机构 x,公道 n,不为 c,朋友 n,和家人 x,忠告 n,就业 v,要看 x,资格证 n,如果没有 x,去了 x,希望 v,微 a,博 n,给我 x,点 m,赞 v"
4323036972902621,走饭妈妈,Sun Dec 30 21:16:34 +0800 2018,这就是达内科技教育培训！他们以为招聘面试骗你过去代高利贷，今天因为小孩子玩手机，在微信上小孩给他发了信息，它威胁我，我的资料信息在它那里，它骂人，它说要想办法找人报复我，弄死我，达内就是骗子公司这就是达内的嘴脸！现在已经落出尾巴了，！大家千万别去！以前在人才市场看见过，好几分公司，都去过，都是骗钱上课的，因为这个，我才去查出来骗代高利贷的事，#达内骗局##达内##达内骗子，不让人活##达内与易信骗子##论达内教育是怎样坑人的##达内教育#,这就是 达内 科技 教育培训 招聘 面试 骗你 代 高利贷 小孩子 玩 手机 微信 小孩 给他 发了信息 威胁 资料 信息 骂人 它说 想办法 找人 报复 弄死 骗子 嘴脸 落出 尾巴 千万别 人才市场 好几 分公司 去过 都是 骗钱 上课 才去 查出来 骗代 事 骗局 不让 易信 教育 是怎样 坑人,x nrt n x v v x q n n v n x n x x vn n n n x x x v v n n v n i x m n vq x n v x v n n n v x vn x n,"这就是 x,达内 nrt,科技 n,教育培训 x,招聘 v,面试 v,骗你 x,代 q,高利贷 n,小孩子 n,玩 v,手机 n,微信 x,小孩 n,给他 x,发了信息 x,威胁 vn,资料 n,信息 n,骂人 n,它说 x,想办法 x,找人 x,报复 v,弄死 v,骗子 n,嘴脸 n,落出 v,尾巴 n,千万别 i,人才市场 x,好几 m,分公司 n,去过 vq,都是 x,骗钱 n,上课 v,才去 x,查出来 v,骗代 n,事 n,骗局 n,不让 v,易信 x,教育 vn,是怎样 x,坑人 n"
4312737884983657,我觉得你有毛病,Sun Dec 02 11:11:40 +0800 2018,垃圾#达内骗局##达内##达内骗子，不让人活##达内与易信骗子##论达内教育是怎样坑人的##达内教育#,垃圾 达内 骗局 骗子 不让 易信 教育 是怎样 坑人,n nrt n n v x vn x n,"垃圾 n,达内 nrt,骗局 n,骗子 n,不让 v,易信 x,教育 vn,是怎样 x,坑人 n"
4287785558647563,郭惜君,Mon Sep 24 14:40:03 +0800 2018,"上班狗报道
满嘴口腔溃疡但还是念念不忘火锅🍲
想吃火锅了#达内#
#火锅# 深圳","上班 狗 报道 
 满嘴 口腔溃疡 念念不忘 火锅 🍲 想 吃火锅 达内   深圳",v n v x ns n i n x v l nrt x ns,"上班 v,狗 n,报道 v,
 x,满嘴 ns,口腔溃疡 n,念念不忘 i,火锅 n,🍲 x,想 v,吃火锅 l,达内 nrt,  x,深圳 ns"
4195358286473188,杜小果空间,Fri Jan 12 13:27:04 +0800 2018,马上就学完了ui 要找工作了 好迷茫#ui##达内##设计培训#,学完了 ui   找工作了 迷茫 达内 设计培训,x eng x x z nrt x,"学完了 x,ui eng,  x,找工作了 x,迷茫 z,达内 nrt,设计培训 x"
4184311916224592,九战八坑,Wed Dec 13 01:52:43 +0800 2017,"#达内#达内这骗子公司，以招聘为诱饵骗人来他们这培训（不管你做的有多好多NB他们都会说离我们的要求差远了之类的话）一开始我面试，人事给我讲了IT界多NB多厉害，其它职业就是垃圾，还说几个月后月薪能到5-7万一堆谎话，我当时答应了说可以参加复试。第二天早上我在坐车的时候查看一些关于达内公司的资料，让我很震惊的是这家公司负面新闻远大于正面的新闻而且和我是经历很类似。我准备去达内告诉人事说我不参加复试了，到了之后那人事又开始又给我讲了一大堆，我问是不是骗子公司呀？她说：我们一个上市公司骗你们刚毕业的学生干嘛？！（干嘛？！达内自己没点b数吗还干嘛。达内和一些贷款公司合作专骗哪些刚毕业的学生让他们贷款，以培训费为由连本带利要20000多而且毕业后连工作都不给安排）我当时有点想走了就说算了我还是走吧，当时面试官骂我你是不是有病，脑子是不是有病？！（一些难听的我就不在这举出来了）我强压着怒火说：都成年人有事说事。她依旧不依不饶的骂，我直接就摔门而出了。
在此我想说达内不仅是骗子公司而且连员工素质也极差。我面试的地方是（云峰大厦7楼）想去的朋友要留意全是坑，我想对那个姓王的女人事说别以为你人事就NB就了不起，被人当枪使都不知道呢","达内 骗子 招聘 为诱饵 骗人 培训 你做 有多 好多 NB 都会 离我们 差远了 面试 人事 给我讲 IT 界多 厉害 职业 垃圾 还说 几个月 月薪 能到 一堆 谎话 我当时 答应了 参加 复试 第二天 早上 我在 坐车 查看 资料 让我 震惊 的是 这家 负面新闻 远大于 正面 新闻 经历 类似 告诉 说我 到了 一大堆 我问 她说 我们一个 上市公司 骗 刚毕业 学生 干嘛 没点 数 贷款 合作 专骗 培训费 为由 连本带利 20000 毕业后 工作 不给 安排 有点想 走了 就说 算了 我还是 走吧 面试官 骂我 你是不是 有病 脑子 难听 我就 不在 这举 出来了 强压 怒火 成年人 有事说事 依旧 不依不饶 骂 摔 门 出了 
 在此 想说 员工素质 极差 地方 云峰 大厦 楼 想去 朋友 留意 全 坑 想对 姓王 女人 事 别以为 了不起 被人 当枪使 不知道呢",nrt n v x n vn x x m eng x x l v n x eng nrt a n n x x n v m n x x v v m t x v v n x v x r n nr ad n n v v x x m x x x nt v x n n x m n vn vn n x l m x vn x v x x x v x x n x x x n v x v r x v n n x z i v v n x x x x n n n x n n v n v a n x x n n nr v x x x,"达内 nrt,骗子 n,招聘 v,为诱饵 x,骗人 n,培训 vn,你做 x,有多 x,好多 m,NB eng,都会 x,离我们 x,差远了 l,面试 v,人事 n,给我讲 x,IT eng,界多 nrt,厉害 a,职业 n,垃圾 n,还说 x,几个月 x,月薪 n,能到 v,一堆 m,谎话 n,我当时 x,答应了 x,参加 v,复试 v,第二天 m,早上 t,我在 x,坐车 v,查看 v,资料 n,让我 x,震惊 v,的是 x,这家 r,负面新闻 n,远大于 nr,正面 ad,新闻 n,经历 n,类似 v,告诉 v,说我 x,到了 x,一大堆 m,我问 x,她说 x,我们一个 x,上市公司 nt,骗 v,刚毕业 x,学生 n,干嘛 n,没点 x,数 m,贷款 n,合作 vn,专骗 vn,培训费 n,为由 x,连本带利 l,20000 m,毕业后 x,工作 vn,不给 x,安排 v,有点想 x,走了 x,就说 x,算了 v,我还是 x,走吧 x,面试官 n,骂我 x,你是不是 x,有病 x,脑子 n,难听 v,我就 x,不在 v,这举 r,出来了 x,强压 v,怒火 n,成年人 n,有事说事 x,依旧 z,不依不饶 i,骂 v,摔 v,门 n,出了 x,
 x,在此 x,想说 x,员工素质 n,极差 n,地方 n,云峰 x,大厦 n,楼 n,想去 v,朋友 n,留意 v,全 a,坑 n,想对 x,姓王 x,女人 n,事 n,别以为 nr,了不起 v,被人 x,当枪使 x,不知道呢 x"
4156553986382240,免贵姓李58,Wed Sep 27 11:32:38 +0800 2017,1.这些年，在主流招聘网站上，确实看到#达内# 是常年招聘，有博友通过@青岛招聘资讯 曝光说它就是招生卖课程。难道它又“换马甲”了？求辟谣。2.曝光贴中的求职者，不应该先骂对方，否则不会招致恶毒反击。建设和谐社会，人人有责。,1. 主流 招聘网站 确实 达内   常年 招聘 博友 青岛 资讯 曝光 说它 招生 卖 课程 它又 换马甲 求 辟谣 2. 贴 求职者 先 骂 招致 恶毒 反击 建设和谐社会 人人有责,m b x ad nrt x d v n ns n nz x v v n x nz v nr m v n d v v n v x l,"1. m,主流 b,招聘网站 x,确实 ad,达内 nrt,  x,常年 d,招聘 v,博友 n,青岛 ns,资讯 n,曝光 nz,说它 x,招生 v,卖 v,课程 n,它又 x,换马甲 nz,求 v,辟谣 nr,2. m,贴 v,求职者 n,先 d,骂 v,招致 v,恶毒 n,反击 v,建设和谐社会 x,人人有责 l"
4150008808517850,黑鬼鬼鬼,Sat Sep 09 10:04:26 +0800 2017,#教师节#啊嘿，第一次收到教师节礼物！开心😌 😌 😌感谢 #达内#@健康养生老司机,教师节 第一次 收到 礼物 开心 😌   感谢 达内 健康 养生 老司机,n m v n v x x v nrt a v x,"教师节 n,第一次 m,收到 v,礼物 n,开心 v,😌 x,  x,感谢 v,达内 nrt,健康 a,养生 v,老司机 x"
